,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
2025204,GSM,334,3,19008,24574,0,-100.03532409668001,25.602951049805004,1000,1,1,1286033111,1286033111,0
2025205,GSM,334,3,19008,24575,0,-99.996414,25.602493,1000,3,1,1286048129,1286048129,0
2025206,GSM,334,3,19008,7124,0,-99.913925,25.59169,2716,45,1,1286047810,1286047810,0
2025246,GSM,334,3,19008,35075,0,-99.913101196289,25.590591430664002,1000,1,1,1286047510,1286047510,0
2025247,GSM,334,3,19020,31202,0,-100.06553649902,25.652389526367003,1000,1,1,1286048414,1286048414,0
2025248,GSM,334,3,19018,24104,0,-100.195084,25.69725,1312,3,1,1286068814,1306590018,0
2025250,GSM,334,3,19014,24232,0,-100.26054382324,25.679855346679997,1000,1,1,1286049610,1286049610,0
2025251,GSM,334,3,19014,22154,0,-100.28388977051,25.683975219727,1000,1,1,1286049910,1286049910,0
2025252,GSM,334,3,19014,30005,0,-100.29762268066,25.677108764648,1000,1,1,1286050211,1286050211,0
2025253,GSM,334,3,19001,22643,0,-100.311081,25.666672,1000,5,1,1286070390,1286109310,0
2025254,GSM,334,3,19001,1023,0,-100.316162,25.668182,1000,2,1,1286070741,1286107810,0
2025255,GSM,334,3,19001,31591,0,-100.314102,25.673141,1000,9,1,1286053810,1286053810,0
2025257,GSM,334,3,19001,31592,0,-100.31410217285,25.668869018555004,1000,1,1,1286054106,1286054106,0
2025258,GSM,334,3,19001,3034,0,-100.31272888184,25.664749145507997,1000,1,1,1286054708,1286054708,0
2025259,GSM,334,3,19001,62043,0,-100.31346500000001,25.666809,1000,28,1,1286074807,1286107210,0
2025284,GSM,334,20,5022,13689,0,-112.258436,30.831345000000002,3963,5,1,1286103347,1478520044,0
2025313,GSM,334,3,26014,33222,0,-112.87696838379,31.796493530273,1000,1,1,1286088647,1286088647,0
2025315,GSM,334,3,26014,33221,0,-112.87010192871,31.826705932617003,1000,1,1,1286088947,1286088947,0
2025316,GSM,334,3,26014,21243,0,-112.864333,31.889053999999998,2889,5,1,1286109347,1320014086,0
2025317,GSM,334,3,26014,33231,0,-112.92503356933999,31.911849975585998,1000,1,1,1286090447,1286090447,0
2025318,GSM,334,3,26014,33232,0,-112.97584533691001,31.926956176757997,1000,1,1,1286090748,1286090748,0
2025335,GSM,334,3,26000,35081,0,-114.561095,32.416308,13193,84,1,1286121948,1452649034,0
2025354,GSM,334,3,2007,23061,0,-115.209503,32.55318,2510,2,1,1286126158,1319992790,0
2025356,GSM,334,3,2010,31292,0,-115.254896,32.563709,5851,9,1,1286126449,1456509651,0
2025360,GSM,334,3,19001,22301,0,-100.31684875488001,25.667495727539002,1000,1,1,1286107510,1286107510,0
2025361,GSM,334,3,19001,31962,0,-100.31410217285,25.668869018555004,1000,1,1,1286108110,1286108110,0
2025384,GSM,334,3,19001,31963,0,-100.31959533691,25.671615600585998,1000,1,1,1286110510,1286110510,0
2025385,GSM,334,3,19001,1051,0,-100.31547546386999,25.685348510742003,1000,1,1,1286110810,1286110810,0
2025388,GSM,334,3,19014,1035,0,-100.309639,25.720024,1000,4,1,1286130910,1286972790,0
2025392,GSM,334,3,19012,5034,0,-100.29624938965,25.755386352539002,1000,2,1,1286131812,1340492408,0
2025394,GSM,334,3,19012,30763,0,-100.303116,25.767059,1000,2,1,1286132110,1286822495,0
2025399,GSM,334,3,19014,31001,0,-100.307199,25.757445999999998,1088,112,1,1286132410,1288194317,0
2025409,GSM,334,3,19010,30321,0,-100.32371520996,25.766372680664002,1000,1,1,1286112913,1286112913,0
2025441,GSM,334,3,19010,31391,0,-100.33332824706999,25.788345336914002,1000,1,1,1286113211,1286113211,0
2025443,GSM,334,3,5011,2401,0,-100.842991,25.465794,1356,8,1,1286136012,1321470400,0
2025447,GSM,334,3,5012,31775,0,-100.277573,24.541946,2905,5,1,1286139612,1288208119,0
2025460,GSM,334,50,20013,61682,0,-100.91149399999999,22.170431,8697,2,1,1286148983,1470308157,0
2025461,GSM,334,3,24000,30622,0,-100.845173,22.056525,2890,7,1,1286149593,1486378771,0
2025478,GSM,334,3,24006,31082,0,-100.752945,21.601868,1768,18,1,1286151013,1490815707,0
2025482,GSM,334,3,26000,35063,0,-114.76830600000001,32.461407,36325,24,1,1286156151,1452636843,0
2025483,GSM,334,3,26000,35041,0,-114.760475,32.447739,2366,36,1,1286156751,1462286950,0
2025484,GSM,334,3,26000,23153,0,-114.75958899999999,32.449695,2175,17,1,1286157051,1462286950,0
2025547,GSM,334,20,144,25398,0,-99.550588,20.030867,155340,7061,1,1286162407,1466370891,0
2025548,GSM,334,3,26000,23152,0,-114.633728,32.402739000000004,16507,7,1,1286167513,1493770923,0
2025615,GSM,334,3,22000,31011,0,-100.50079699999999,20.535941,3226,19,1,1286196402,1485206871,0
2025617,GSM,334,3,9018,8962,0,-99.152744,19.449989000000002,1000,40,1,1286199917,1482034049,0
2025619,GSM,334,3,9009,31851,0,-99.153428,19.444117000000002,1358,62,1,1286200217,1478040011,0
2025620,GSM,334,3,9008,5702,0,-99.155191,19.441447,1000,94,1,1286200519,1479406132,0
2025623,GSM,334,3,11013,34233,0,-101.105898,20.233777,10418,7,1,1286201502,1452180973,0
2025624,GSM,334,3,9014,33852,0,-99.20627900000001,19.540294,1023,13,1,1286202020,1475351564,0
2025625,GSM,334,3,26000,35052,0,-114.58741299999998,32.408773,15480,6,1,1286204413,1452649034,0
2025626,GSM,334,20,3022,18455,0,-97.767718,19.311539,98313,164,1,1286204587,1452599058,0
2025627,GSM,334,3,16000,35651,0,-101.154669,19.75422,8765,12,1,1286207505,1453367661,0
2025635,GSM,334,3,16000,35703,0,-101.181957,19.707151,1411,21,1,1286208786,1486571692,0
2025637,GSM,334,3,16006,39872,0,-101.39653,19.557176000000002,3952,130,1,1286217705,1486572717,0
2025638,GSM,334,20,2521,25847,0,-101.62010192871,19.493179321289002,1000,1,1,1286198804,1286198804,0
2025641,GSM,334,3,16001,37031,0,-102.032089,19.429320999999998,1000,2,1,1286221305,1296482148,0
2025658,GSM,334,3,9016,33962,0,-99.191484,19.441728,1000,58,1,1286232320,1477167474,0
